Id,Score,Episodes,Min_Duration,Year,Hentai,Prequel
158,7.34,13,24.0,2004,0.0,0.0
159,6.34,24,23.0,2004,0.0,0.0
160,7.66,13,25.0,1999,0.0,0.0
161,7.33,24,24.0,2003,0.0,0.0
162,6.94,26,24.0,2002,0.0,0.0
164,8.72,1,135.0,1997,0.0,0.0
165,7.42,26,23.0,2002,0.0,0.0
166,7.48,26,26.0,2004,0.0,0.0
167,7.41,24,23.0,2003,0.0,0.0
168,7.38,26,24.0,2001,0.0,0.0
169,6.91,12,24.0,2003,0.0,0.0
170,8.53,101,23.0,1993,0.0,0.0
171,6.35,13,23.0,2000,0.0,0.0
173,7.23,25,24.0,2004,0.0,0.0
174,6.93,24,23.0,2004,0.0,0.0
175,6.63,26,25.0,2002,0.0,0.0
176,6.19,4,28.0,2003,0.0,1.0
177,7.55,26,25.0,2005,0.0,0.0
178,7.18,26,24.0,2003,0.0,0.0
179,6.69,1,21.0,2002,0.0,0.0
180,7.21,13,22.0,2000,0.0,0.0
181,7.42,13,22.0,2001,0.0,1.0
183,7.39,39,24.0,2002,0.0,0.0
184,6.37,12,23.0,2005,0.0,0.0
185,8.29,26,25.0,1998,0.0,0.0
186,8.12,13,23.0,1999,0.0,1.0
187,7.89,1,105.0,2001,0.0,1.0
189,7.14,24,23.0,2000,0.0,0.0
190,7.25,3,30.0,2002,0.0,0.0
191,7.34,1,46.0,2000,0.0,0.0
192,7.21,1,46.0,2001,0.0,0.0
193,6.8,24,24.0,2003,0.0,0.0
194,7.55,5,30.0,2002,0.0,0.0
195,7.17,12,23.0,2002,0.0,0.0
196,6.88,12,25.0,2003,0.0,0.0
197,6.55,24,15.0,2002,0.0,0.0
198,7.35,24,23.0,2005,0.0,0.0
199,8.83,1,125.0,2001,0.0,0.0
200,7.48,50,24.0,2002,0.0,0.0
201,7.21,6,29.0,1992,0.0,0.0
202,7.82,26,23.0,2003,0.0,0.0
203,6.75,5,30.0,1999,1.0,1.0
204,6.11,12,24.0,2004,0.0,0.0
205,8.5,26,24.0,2004,0.0,0.0
206,7.16,27,24.0,1998,0.0,0.0
208,7.67,3,33.0,2001,0.0,0.0
209,7.55,26,25.0,2003,0.0,1.0
210,7.76,161,24.0,1989,0.0,0.0
212,6.86,1,84.0,1986,0.0,0.0
218,7.52,26,23.0,1996,0.0,0.0
219,6.77,1,79.0,1998,0.0,1.0
221,6.65,2,30.0,2000,0.0,0.0
222,6.68,13,25.0,2004,0.0,1.0
223,8.0,153,24.0,1986,0.0,0.0
225,6.48,64,23.0,1996,0.0,1.0
226,7.56,13,25.0,2004,0.0,0.0
227,8.03,6,25.0,2000,0.0,0.0
228,7.65,26,25.0,2005,0.0,0.0
229,6.92,12,24.0,2004,0.0,0.0
230,7.02,27,24.0,2003,0.0,0.0
231,6.18,26,12.0,2002,0.0,0.0
232,8.16,70,25.0,1998,0.0,0.0
233,7.65,78,25.0,2000,0.0,0.0
235,8.16,1000,25.0,1996,0.0,0.0
236,6.64,26,23.0,2003,0.0,0.0
237,8.09,50,24.0,2005,0.0,0.0
238,7.36,42,23.0,1997,0.0,0.0
239,8.17,24,24.0,2004,0.0,0.0
240,7.66,12,25.0,2004,0.0,0.0
241,6.45,11,23.0,2004,0.0,0.0
242,7.42,13,23.0,2004,0.0,0.0
243,7.02,13,22.0,2000,0.0,0.0
244,6.88,39,25.0,2004,0.0,0.0
245,8.7,43,25.0,1999,0.0,1.0
246,7.27,51,24.0,2001,0.0,0.0
247,7.05,26,24.0,2004,0.0,0.0
248,6.68,12,23.0,2005,0.0,0.0
249,7.85,167,24.0,2000,0.0,0.0
250,7.55,150,23.0,2003,0.0,0.0
251,7.7,78,25.0,2004,0.0,0.0
252,7.07,26,24.0,2004,0.0,0.0
253,7.84,26,23.0,2001,0.0,0.0
254,7.83,6,26.0,2002,0.0,1.0
255,7.65,7,26.0,2003,0.0,1.0
256,7.22,1,25.0,2002,0.0,0.0
257,6.45,13,24.0,2003,0.0,0.0
258,6.23,4,30.0,2003,0.0,0.0
259,6.64,5,30.0,2001,0.0,0.0
260,6.67,13,23.0,2002,0.0,0.0
261,6.84,13,24.0,2003,0.0,1.0
262,6.83,3,30.0,2004,0.0,0.0
263,8.75,75,23.0,2000,0.0,0.0
264,8.29,1,90.0,2003,0.0,0.0
265,8.23,1,61.0,2003,0.0,1.0
266,6.8,12,23.0,2003,0.0,0.0
267,7.87,26,25.0,2003,0.0,0.0
268,8.03,6,29.0,1995,0.0,0.0
269,7.8,366,24.0,2004,0.0,0.0
270,7.5,13,23.0,2001,0.0,0.0
271,6.7,26,25.0,2003,0.0,0.0
272,7.31,26,24.0,2001,0.0,0.0
273,6.75,12,24.0,2003,0.0,0.0
274,7.22,24,23.0,2002,0.0,0.0
275,5.91,9,15.0,2004,0.0,0.0
277,7.17,14,24.0,2002,0.0,1.0
278,6.75,51,20.0,2004,0.0,0.0
279,7.15,13,24.0,2003,0.0,0.0
281,5.74,3,27.0,2004,0.0,0.0
283,7.7,50,25.0,1979,0.0,1.0
284,7.03,12,25.0,2004,0.0,0.0
285,6.8,25,25.0,2000,0.0,0.0
286,7.05,25,22.0,1996,0.0,0.0
287,7.44,24,25.0,2001,0.0,0.0
288,6.73,51,23.0,2001,0.0,0.0
289,6.59,13,24.0,2001,0.0,0.0
290,7.69,13,26.0,1999,0.0,1.0
291,7.01,26,25.0,2005,0.0,1.0
292,6.85,26,24.0,2003,0.0,0.0
293,6.73,16,4.0,1999,0.0,1.0
294,5.93,13,24.0,2003,0.0,0.0
295,6.3,13,24.0,2004,0.0,1.0
296,6.73,38,25.0,2002,0.0,0.0
297,6.72,12,25.0,2004,0.0,0.0
298,6.6,12,23.0,2003,0.0,1.0
299,6.61,4,33.0,2002,0.0,0.0
300,6.77,4,30.0,1991,0.0,0.0
301,6.32,13,25.0,2003,0.0,0.0
302,8.09,26,29.0,1978,0.0,0.0
303,6.92,48,7.0,1998,0.0,0.0
304,7.57,1,106.0,2000,0.0,1.0
306,7.26,13,24.0,2002,0.0,0.0
309,6.16,13,24.0,2005,0.0,0.0
311,7.02,26,24.0,1973,0.0,0.0
316,6.19,3,24.0,1994,1.0,0.0
317,7.76,1,101.0,2005,0.0,0.0
318,6.73,10,23.0,2000,0.0,0.0
319,6.02,3,30.0,2002,0.0,0.0
320,6.56,2,26.0,1998,0.0,0.0
321,6.0,12,23.0,2001,0.0,0.0
322,7.83,12,24.0,2005,0.0,1.0
323,7.68,13,24.0,2004,0.0,0.0
324,7.69,47,25.0,1989,0.0,1.0
325,7.0,25,24.0,2005,0.0,0.0
326,7.27,4,22.0,1999,0.0,0.0
327,7.42,26,25.0,2002,0.0,0.0
328,6.02,10,24.0,2002,0.0,0.0
329,8.31,26,25.0,2003,0.0,0.0
330,7.28,13,24.0,2004,0.0,0.0
331,7.61,45,23.0,1994,0.0,0.0
333,7.21,51,24.0,1992,0.0,0.0
334,7.49,76,24.0,1994,0.0,1.0
