MAL_ID,anime_id
10721,10
339,7
486,8
43,9
227,10
9756,10
31964,3
22199,1
11111,1
5694,10
6774,8
34933,1
35240,8
8525,6
6547,6
721,8
5,9
1,9
601,6
22297,4
35788,4
38000,4
38101,3
24405,3
